task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,1.0598273277282715,0.06090177382356015,29.0,29,True,1,0.9736842105263158,0.9692460317460317,0.9741062479117941,0.9692460317460317,0.9715828832571666,0.9692460317460317,0.030753968253968252,0.9692460317460317,0.030753968253968252
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,2.2264018058776855,0.05993961508426329,32.5,65,True,2,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,1.2511825561523438,0.048936272741875786,42.0,42,True,1,0.9824561403508771,0.9761904761904762,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.9761904761904762,0.023809523809523808,0.9761904761904762,0.023809523809523808
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,2.38499116897583,0.05182974836856559,36.5,73,True,2,0.9912280701754386,0.9880952380952381,0.9931506849315068,0.9880952380952381,0.9905276277523889,0.9880952380952381,0.011904761904761904,0.9880952380952381,0.011904761904761904
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,1.5165493488311768,0.012282121551992453,50.0,50,False,0,0.9912280701754386,0.9880952380952381,0.9931506849315068,0.9880952380952381,0.9905276277523889,0.9880952380952381,0.011904761904761904,0.9880952380952381,0.011904761904761904
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,3.2810616493225098,0.020813573523006147,50.0,100,False,0,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,0.8711576461791992,0.09100524199775596,29.0,29,True,1,0.9736842105263158,0.9692460317460317,0.9741062479117941,0.9692460317460317,0.9715828832571666,0.9692460317460317,0.030753968253968252,0.9692460317460317,0.030753968253968252
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,2.214625597000122,0.09644587009308347,34.0,68,True,2,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872,0.9623015873015872,0.9623015873015872,0.037698412698412696,0.9623015873015872,0.037698412698412696
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,0.9605531692504883,0.05361646327419557,32.0,32,True,1,0.9649122807017544,0.9722222222222222,0.9565217391304348,0.9722222222222222,0.9629870129870131,0.9722222222222222,0.027777777777777776,0.9722222222222222,0.027777777777777776
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,3.266937494277954,0.03876665763664937,50.0,100,False,0,0.9736842105263158,0.9791666666666667,0.9666666666666667,0.9791666666666667,0.9721203228173148,0.9791666666666667,0.020833333333333332,0.9791666666666667,0.020833333333333332
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,multi-output,coupled_outputs,0.8973031044006348,0.0674910148659694,30.0,30,True,1,0.9912280701754386,0.9880952380952381,0.9931506849315068,0.9880952380952381,0.9905276277523889,0.9880952380952381,0.011904761904761904,0.9880952380952381,0.011904761904761904
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,OVA,decoupled_outputs,1.7944629192352295,0.07316161750518865,27.5,55,True,2,0.9912280701754386,0.9880952380952381,0.9931506849315068,0.9880952380952381,0.9905276277523889,0.9880952380952381,0.011904761904761904,0.9880952380952381,0.011904761904761904
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,multi-output,coupled_outputs,0.9561426639556885,0.08069098017353943,32.0,32,True,1,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9742063492063492,0.9718634306869601,0.9742063492063492,0.025793650793650792,0.9742063492063492,0.025793650793650792
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,OVA,decoupled_outputs,2.7813680171966553,0.08044484311687773,42.0,84,True,1,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,multi-output,coupled_outputs,0.8293242454528809,0.13579648495584296,27.0,27,True,1,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.9811507936507937,0.018849206349206348,0.9811507936507937,0.018849206349206348
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,OVA,decoupled_outputs,1.6756131649017334,0.13784478896338007,25.0,50,True,2,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9742063492063492,0.9718634306869601,0.9742063492063492,0.025793650793650792,0.9742063492063492,0.025793650793650792
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,multi-output,coupled_outputs,1.494401454925537,0.02419668387459672,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,OVA,decoupled_outputs,2.5357940196990967,0.02833078016081582,49.5,99,True,1,0.9912280701754386,0.9930555555555556,0.9883720930232558,0.9930555555555556,0.99062114356232,0.9930555555555556,0.006944444444444444,0.9930555555555556,0.006944444444444444
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,multi-output,coupled_outputs,1.1639797687530518,0.052555993415307305,50.0,50,False,0,0.9736842105263158,0.9742063492063492,0.9697019325253848,0.9742063492063492,0.9718634306869601,0.9742063492063492,0.025793650793650792,0.9742063492063492,0.025793650793650792
classification,breast_cancer,,2,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,OVA,decoupled_outputs,2.566068649291992,0.042228493434579475,50.0,100,False,0,0.9824561403508771,0.9861111111111112,0.9772727272727273,0.9861111111111112,0.981329839502129,0.9861111111111112,0.013888888888888888,0.9861111111111112,0.013888888888888888
