task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,161.05969643592834,0.19487913727760314,50.0,50,False,0,0.914,0.9242882507333642,0.9074193154410054,0.9242882507333642,0.9139469760850931,0.9242882507333642,0.028797684593474055,0.9712023154065259,0.07571174926663579
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,628.185614824295,0.08579243183337773,48.75,195,True,1,0.925,0.933960552725027,0.9164025335008139,0.933960552725027,0.9230338939408204,0.933960552725027,0.02481388311903691,0.9751861168809631,0.06603944727497299
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,159.81757473945618,0.2576738222837448,50.0,50,False,0,0.893,0.9046083210186961,0.8921401553883336,0.9046083210186961,0.8968018383391054,0.9046083210186961,0.03662291836456377,0.9633770816354363,0.0953916789813038
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,609.0796687602997,0.08179288333468139,47.5,190,True,1,0.939,0.9453984612217591,0.9392477358675662,0.9453984612217591,0.9417434347121203,0.9453984612217591,0.02097473651028315,0.9790252634897169,0.05460153877824095
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,160.08990216255188,0.17745625440279642,50.0,50,False,0,0.914,0.9236192167155576,0.908624241929003,0.9236192167155576,0.9143040788025659,0.9236192167155576,0.028966870160632287,0.9710331298393677,0.0763807832844424
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,613.676539182663,0.11607368747113893,47.75,191,True,1,0.928,0.9359445878088768,0.9215397716068074,0.9359445878088768,0.9275037971894213,0.9359445878088768,0.024082021306084122,0.9759179786939158,0.06405541219112316
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,159.61915946006775,0.17376980300744374,50.0,50,False,0,0.914,0.9220141416146511,0.9116049968651248,0.9220141416146511,0.9151993134067681,0.9220141416146511,0.029292133770989617,0.9707078662290103,0.07798585838534888
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,645.537764787674,0.07663561551955839,50.0,200,False,0,0.943,0.9478813126300389,0.9432766313059432,0.9478813126300389,0.9451280295222105,0.9478813126300389,0.01960643488362082,0.9803935651163791,0.052118687369961114
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,131.47013592720032,0.20080635917186737,41.0,41,True,1,0.875,0.8880462552475059,0.8707945789986375,0.8880462552475059,0.8753149026091432,0.8880462552475059,0.04218496310878299,0.9578150368912169,0.11195374475249417
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,622.5153093338013,0.0841049040046831,48.25,193,True,2,0.926,0.9351610828058257,0.9168283005142959,0.9351610828058257,0.9231637401031522,0.9351610828058257,0.024358252711054677,0.9756417472889454,0.06483891719417426
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,6,multi-output,coupled_outputs,156.18788480758667,0.1982300488203764,50.0,50,False,0,0.916,0.92629158487542,0.9090496975718393,0.92629158487542,0.9158256977111738,0.92629158487542,0.028008447708422535,0.9719915522915775,0.07370841512458001
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,6,OVA,decoupled_outputs,608.0804600715637,0.08730338053110365,48.0,192,True,2,0.942,0.9475660946793416,0.9419649791037509,0.9475660946793416,0.9443913884172798,0.9475660946793416,0.01992920476542216,0.9800707952345777,0.05243390532065845
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,7,multi-output,coupled_outputs,155.87461805343628,0.14836201629042625,50.0,50,False,0,0.92,0.9287903350316504,0.9175064214936487,0.9287903350316504,0.9218641911647174,0.9287903350316504,0.027203371049226426,0.9727966289507735,0.07120966496834955
classification,brisc,,4,vgg,n/a,False,32,50,10,0.0001,0.001,7,OVA,decoupled_outputs,553.5873820781708,0.09900076172919943,43.75,175,True,1,0.916,0.9241825837946727,0.9084442662483948,0.9241825837946727,0.9138009865784779,0.9241825837946727,0.028005359697162623,0.9719946403028374,0.07581741620532727
