task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,1,multi-output,coupled_outputs,148.8799283504486,0.7115338145256043,28.0,28,True,1,0.7672,0.7672,0.7673003725455321,0.7672,0.7660001836199682,0.7672,0.025866666666666666,0.9741333333333333,0.23280000000000003
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,1,OVA,decoupled_outputs,1166.3788049221039,0.13542218302356698,21.9,219,True,10,0.7703,0.7703,0.7712148152714565,0.7703,0.7699799065751999,0.7703,0.025522222222222224,0.9744777777777778,0.22970000000000002
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,2,multi-output,coupled_outputs,126.77533388137817,0.7041528932571411,26.0,26,True,1,0.7683,0.7683,0.7754211287184566,0.7683,0.7676956818388223,0.7683,0.02574444444444445,0.9742555555555554,0.23170000000000002
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,2,OVA,decoupled_outputs,1106.3091895580292,0.13344423131860328,21.7,217,True,10,0.7631,0.7631,0.7627248800556811,0.7631,0.7622649155103527,0.7631,0.02632222222222222,0.9736777777777779,0.23689999999999997
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,3,multi-output,coupled_outputs,127.14077305793762,0.6983185747464498,26.0,26,True,1,0.759,0.759,0.7623919123368101,0.759,0.7590216818957198,0.759,0.02677777777777778,0.9732222222222223,0.24099999999999996
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,3,OVA,decoupled_outputs,1147.445830821991,0.13513475872238478,22.4,224,True,10,0.7665,0.7665,0.766917340939845,0.7665,0.7659990413476384,0.7665,0.025944444444444444,0.9740555555555556,0.23349999999999999
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,4,multi-output,coupled_outputs,133.3928928375244,0.7198229347705841,27.0,27,True,1,0.7553,0.7553000000000001,0.7589614600052595,0.7553000000000001,0.7545877108861763,0.7553000000000001,0.02718888888888889,0.972811111111111,0.2447
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,4,OVA,decoupled_outputs,1151.629599571228,0.13304758318447196,22.4,224,True,10,0.7605,0.7605,0.7644186986583981,0.7605,0.7618249020644823,0.7605,0.026611111111111113,0.973388888888889,0.23949999999999996
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,5,multi-output,coupled_outputs,144.6660418510437,0.6932405971527099,27.0,27,True,1,0.7849,0.7849,0.7838428861951576,0.7849,0.7822970962331126,0.7849,0.023899999999999998,0.9761,0.2151
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,5,OVA,decoupled_outputs,1097.6347041130066,0.13553458158830806,21.3,213,True,10,0.762,0.762,0.7616138330683208,0.762,0.7596579967032567,0.762,0.026444444444444448,0.9735555555555555,0.23800000000000004
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,6,multi-output,coupled_outputs,118.43667578697205,0.7076207979520162,24.0,24,True,1,0.7532,0.7532,0.7546170845982966,0.7532,0.7524819279085764,0.7532,0.027422222222222226,0.9725777777777778,0.24679999999999996
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,6,OVA,decoupled_outputs,1099.0083255767822,0.13275888901731,21.1,211,True,10,0.7661,0.7661,0.7668210239438824,0.7661,0.7659092559052876,0.7661,0.025988888888888888,0.9740111111111112,0.2339
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,7,multi-output,coupled_outputs,124.48870182037354,0.6596420048713684,25.0,25,True,1,0.7803,0.7802999999999999,0.7801946132062616,0.7802999999999999,0.7765995227264607,0.7802999999999999,0.024411111111111113,0.9755888888888891,0.2197
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,7,OVA,decoupled_outputs,1105.8841953277588,0.13522737127701442,21.2,212,True,10,0.7562,0.7562,0.7579056900272971,0.7562,0.755206996488017,0.7562,0.02708888888888889,0.9729111111111113,0.24379999999999996
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,8,multi-output,coupled_outputs,145.51990962028503,0.6692313954989115,27.0,27,True,1,0.779,0.779,0.7821489251260034,0.779,0.7774392784246367,0.779,0.024555555555555556,0.9754444444444443,0.221
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,8,OVA,decoupled_outputs,1111.4319069385529,0.1334689648060004,21.6,216,True,10,0.7641,0.7641000000000001,0.7623397241340045,0.7641000000000001,0.7625742828445758,0.7641000000000001,0.026211111111111112,0.9737888888888888,0.2359
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,9,multi-output,coupled_outputs,126.54055881500244,0.7096608999570211,26.0,26,True,1,0.7686,0.7686,0.770916287826392,0.7686,0.7681308371452485,0.7686,0.02571111111111111,0.9742888888888889,0.2314
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,9,OVA,decoupled_outputs,1149.6365818977356,0.1332164836650342,21.4,214,True,10,0.7691,0.7691000000000001,0.7678446227211564,0.7691000000000001,0.7677822006395416,0.7691000000000001,0.025655555555555553,0.9743444444444445,0.23090000000000002
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,10,multi-output,coupled_outputs,123.39369058609009,0.7336003007888794,25.0,25,True,1,0.7615,0.7615000000000001,0.7640325480961887,0.7615000000000001,0.7584749773645202,0.7615000000000001,0.026500000000000003,0.9734999999999999,0.2385
classification,cifar10,,10,vgg,n/a,False,64,50,10,0.0001,0.001,10,OVA,decoupled_outputs,1142.3182895183563,0.1346965203767208,21.5,215,True,10,0.7589,0.7589,0.7598352302640884,0.7589,0.7588287072230742,0.7589,0.02678888888888889,0.9732111111111109,0.2411
