task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,3.112679958343506,0.09364542516845244,34.0,34,True,1,0.95,0.9496696696696697,0.9509454080351913,0.9496696696696697,0.949747963749483,0.9496696696696697,0.0055517627653850566,0.9944482372346151,0.05033033033033033
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,30.29836392402649,0.01364344930950244,39.2,392,True,5,0.9777777777777777,0.9777691977691978,0.9781452505136716,0.9777691977691978,0.9777729977710685,0.9777691977691978,0.002466286799620133,0.99753371320038,0.02223080223080223
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,3.5774049758911133,0.09380481478378729,44.0,44,True,1,0.9694444444444444,0.9692771342771342,0.9700980424664636,0.9692771342771342,0.9691999872891758,0.9692771342771342,0.0033960290368959104,0.996603970963104,0.03072286572286572
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,29.241002321243286,0.015356477254634363,38.0,380,True,5,0.9833333333333333,0.9832539682539683,0.9836680701386584,0.9832539682539683,0.983240365045355,0.9832539682539683,0.001852813280057862,0.9981471867199421,0.016746031746031745
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,2.7017593383789062,0.15156686678528786,32.0,32,True,1,0.9722222222222222,0.9721342771342772,0.9730878304562515,0.9721342771342772,0.9720733294679192,0.9721342771342772,0.0030864315136760957,0.996913568486324,0.027865722865722864
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,26.823901414871216,0.019863618472017047,35.5,355,True,6,0.9777777777777777,0.9775396825396825,0.9785054285054284,0.9775396825396825,0.9777076247703604,0.9775396825396825,0.0024710468982914804,0.9975289531017084,0.02246031746031746
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,2.6528944969177246,0.13827379889510297,39.0,39,True,1,0.9527777777777777,0.9525182325182326,0.9531169539658505,0.9525182325182326,0.9522166083535947,0.9525182325182326,0.0052469547423107795,0.9947530452576892,0.04748176748176748
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,28.782174348831177,0.024004167102254913,38.7,387,True,5,0.9805555555555555,0.9802338052338053,0.9812911997363216,0.9802338052338053,0.9802758569461425,0.9802338052338053,0.002162416683572514,0.9978375833164275,0.019766194766194768
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,3.174499034881592,0.16489082616236475,47.0,47,True,1,0.9638888888888889,0.9641141141141141,0.966539039039039,0.9641141141141141,0.9637955460655686,0.9641141141141141,0.004008552888841847,0.9959914471111582,0.035885885885885885
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,23.923120975494385,0.028952391353124295,32.2,322,True,8,0.9777777777777777,0.9778485628485628,0.9787191037191038,0.9778485628485628,0.9776356010537214,0.9778485628485628,0.0024653371320037987,0.9975346628679963,0.022151437151437154
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,multi-output,coupled_outputs,3.3818655014038086,0.0929322815672667,50.0,50,False,0,0.9666666666666667,0.9667288717288717,0.9668532021627996,0.9667288717288717,0.9666454293298743,0.9667288717288717,0.003704671012204552,0.9962953289877955,0.03327112827112827
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,OVA,decoupled_outputs,29.06674575805664,0.013717197459320435,39.3,393,True,5,0.9833333333333333,0.9832496782496782,0.9837047573889679,0.9832496782496782,0.9832820318815031,0.9832496782496782,0.001852807399763024,0.9981471926002369,0.01675032175032175
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,multi-output,coupled_outputs,3.239753007888794,0.132182737260505,48.0,48,True,1,0.9694444444444444,0.9696696696696698,0.9706666180350391,0.9696696696696698,0.9694163395386852,0.9696696696696698,0.003392224486135735,0.9966077755138644,0.030330330330330328
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,OVA,decoupled_outputs,29.72443175315857,0.02146724687236538,39.6,396,True,6,0.9833333333333333,0.9834834834834835,0.9836836062068259,0.9834834834834835,0.9833257817504393,0.9834834834834835,0.0018499583969140213,0.998150041603086,0.016516516516516516
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,multi-output,coupled_outputs,3.3816707134246826,0.12734544001243733,50.0,50,False,0,0.9583333333333334,0.9585499785499785,0.9597281492018335,0.9585499785499785,0.9584343004622932,0.9585499785499785,0.0046239433845213,0.9953760566154786,0.041450021450021454
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,OVA,decoupled_outputs,27.81071162223816,0.017641870781116502,37.6,376,True,5,0.975,0.9747576147576147,0.975403357903358,0.9747576147576147,0.9747597329965025,0.9747576147576147,0.002777795418662292,0.9972222045813377,0.025242385242385246
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,multi-output,coupled_outputs,3.397646903991699,0.01033686498111045,50.0,50,False,0,0.9611111111111111,0.960943800943801,0.9623871063576945,0.960943800943801,0.9610055834899945,0.960943800943801,0.0043219549628218355,0.995678045037178,0.03905619905619906
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,OVA,decoupled_outputs,31.535764694213867,0.005984286104615388,42.6,426,True,6,0.9777777777777777,0.9776941226941227,0.9779736104968304,0.9776941226941227,0.9776484657866267,0.9776941226941227,0.0024681920151476393,0.9975318079848524,0.022305877305877304
classification,digits,,10,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,multi-output,coupled_outputs,3.186782121658325,0.09413263287947134,47.0,47,True,1,0.9722222222222222,0.972213642213642,0.9723637923637923,0.972213642213642,0.9721391055618337,0.972213642213642,0.003083570750237417,0.9969164292497625,0.027786357786357786
