task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,1,multi-output,coupled_outputs,121.8352358341217,0.029532547221519052,21.0,21,True,1,0.9932,0.9931440397098037,0.9931549780225672,0.9931440397098037,0.9931472746018002,0.9931440397098037,0.0007551733241426891,0.9992448266758573,0.006855960290196167
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,1,OVA,decoupled_outputs,1111.594358921051,0.005689010455116082,19.7,197,True,10,0.9937,0.9935775620063833,0.9937817963629442,0.9935775620063833,0.9936728868590947,0.9935775620063833,0.0007012690690662398,0.9992987309309338,0.006422437993616789
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,2,multi-output,coupled_outputs,99.51435685157776,0.0332055988671879,20.0,20,True,1,0.9939,0.9938542352230544,0.9938607265801321,0.9938542352230544,0.9938549846297754,0.9938542352230544,0.0006774163910538699,0.9993225836089461,0.0061457647769457184
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,2,OVA,decoupled_outputs,959.6624279022217,0.0054516305398641775,19.7,197,True,10,0.9924,0.9922874114205369,0.9924538969554982,0.9922874114205369,0.992359520008328,0.9922874114205369,0.0008452645096580528,0.999154735490342,0.007712588579463203
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,3,multi-output,coupled_outputs,97.96223282814026,0.03127806946293761,21.0,21,True,1,0.9921,0.9919094044966071,0.9921633009650751,0.9919094044966071,0.9920203253866733,0.9919094044966071,0.0008785760006832782,0.9991214239993168,0.008090595503393
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,3,OVA,decoupled_outputs,928.8669409751892,0.006272801272507379,17.7,177,True,10,0.9934,0.9933622425704016,0.9934659286305798,0.9933622425704016,0.993405009214861,0.9933622425704016,0.0007344142793552292,0.9992655857206447,0.006637757429598354
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,4,multi-output,coupled_outputs,136.1723599433899,0.020798934280497228,27.0,27,True,1,0.9932,0.9931706896138085,0.9931494474490885,0.9931706896138085,0.9931482418844866,0.9931706896138085,0.0007549121420212754,0.9992450878579788,0.006829310386191506
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,4,OVA,decoupled_outputs,1077.9277818202972,0.004015830273118819,20.9,209,True,10,0.9933,0.9932239958745595,0.993376298270541,0.9932239958745595,0.9932907943182112,0.9932239958745595,0.0007455568660967426,0.9992544431339032,0.006776004125440488
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,5,multi-output,coupled_outputs,100.91112661361694,0.024457691232984264,19.0,19,True,1,0.994,0.9938660054922867,0.994073304264214,0.9938660054922867,0.9939615534770709,0.9938660054922867,0.0006676336829149845,0.999332366317085,0.0061339945077132545
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,5,OVA,decoupled_outputs,1204.0411851406097,0.005615845377228528,23.2,232,True,10,0.993,0.9928926898669378,0.9930819393836927,0.9928926898669378,0.9929787489117006,0.9928926898669378,0.000779042612766528,0.9992209573872335,0.007107310133062225
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,6,multi-output,coupled_outputs,112.74578046798706,0.02256324167492696,22.0,22,True,1,0.9926,0.9924718155795201,0.9926884031004753,0.9924718155795201,0.9925614489841624,0.9924718155795201,0.0008230957158015612,0.9991769042841984,0.007528184420479836
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,6,OVA,decoupled_outputs,1080.4016151428223,0.005422909192309908,20.5,205,True,10,0.9942,0.9940643243214756,0.9942624639009013,0.9940643243214756,0.9941557886525139,0.9940643243214756,0.0006454423647964705,0.9993545576352035,0.005935675678524354
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,7,multi-output,coupled_outputs,155.23731517791748,0.025741755621404284,29.0,29,True,1,0.9914,0.9912834747636751,0.9914141642146707,0.9912834747636751,0.9913168353141899,0.9912834747636751,0.0009556536966372868,0.9990443463033628,0.00871652523632495
classification,mnist,,10,vgg,n/a,False,64,50,10,0.0001,0.001,7,OVA,decoupled_outputs,1355.1616928577423,0.0048170183565502305,25.8,258,True,10,0.9942,0.9941277757063496,0.9942871938766545,0.9941277757063496,0.9941972191759607,0.9941277757063496,0.000645713198796143,0.9993542868012039,0.005872224293650384
