task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,108.02514052391052,0.029136461066821266,50.0,50,False,0,0.9857142857142858,0.960952380952381,0.9873791621911923,0.960952380952381,0.9735751802433694,0.960952380952381,0.03904761904761905,0.960952380952381,0.03904761904761905
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,207.92546844482422,0.049136356771406195,47.5,95,True,1,0.9888888888888889,0.9704761904761905,0.9893396226415094,0.9704761904761905,0.979609293723269,0.9704761904761905,0.02952380952380952,0.9704761904761905,0.02952380952380952
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,67.59518933296204,0.04939771103155282,32.0,32,True,1,0.9777777777777777,0.9485714285714286,0.970381783941106,0.9485714285714286,0.959057486631016,0.9485714285714286,0.05142857142857143,0.9485714285714286,0.05142857142857143
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,151.86299443244934,0.06447641440223263,35.0,70,True,2,0.9825396825396825,0.9514285714285715,0.9854283707865168,0.9514285714285715,0.9674432370724282,0.9514285714285715,0.04857142857142857,0.9514285714285715,0.04857142857142857
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,106.9513955116272,0.021999658485283218,50.0,50,False,0,0.9936507936507937,0.980952380952381,0.996219281663516,0.980952380952381,0.9883937289290912,0.980952380952381,0.01904761904761905,0.980952380952381,0.01904761904761905
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,165.0291941165924,0.054826755443262674,37.5,75,True,2,0.9873015873015873,0.9733333333333334,0.9806930601868057,0.9733333333333334,0.9769669494004095,0.9733333333333334,0.026666666666666665,0.9733333333333334,0.026666666666666665
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,106.79200196266174,0.007340959624141558,50.0,50,False,0,0.9825396825396825,0.9552380952380952,0.9813372717508055,0.9552380952380952,0.9677029980752292,0.9552380952380952,0.04476190476190476,0.9552380952380952,0.04476190476190476
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,208.29767608642578,0.024186822598072928,48.0,96,True,1,0.9857142857142858,0.9647619047619047,0.9833962264150944,0.9647619047619047,0.973783377644203,0.9647619047619047,0.035238095238095235,0.9647619047619047,0.035238095238095235
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,91.5932137966156,0.07704379465948376,43.0,43,True,1,0.9809523809523809,0.9542857142857143,0.9763739085772984,0.9542857142857143,0.9649064171122994,0.9542857142857143,0.045714285714285714,0.9542857142857143,0.045714285714285714
classification,tb_chest_xray,,2,vgg,n/a,False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,217.53496956825256,0.03986493148568404,50.0,100,False,0,0.9920634920634921,0.9838095238095238,0.9875329043579995,0.9838095238095238,0.9856595905471663,0.9838095238095238,0.01619047619047619,0.9838095238095238,0.01619047619047619
