task,dataset,dependency_strength,target_dim,model_arch,hidden_layers,batch_normalization,batch_size,epochs,early_stopping_patience,early_stopping_min_delta,learning_rate,seed,model_type,coupling_level,train_time_seconds,best_val_loss,epochs_trained,total_epochs_trained,stopped_early,models_stopped_early,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,multi-output,coupled_outputs,0.6464524269104004,0.040428485721349716,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,1,OVA,decoupled_outputs,1.7739744186401367,0.030083876103162766,50.0,150,False,0,0.9722222222222222,0.9761904761904763,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.9761904761904763,0.012820512820512822,0.9871794871794872,0.023809523809523808
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,multi-output,coupled_outputs,0.5180573463439941,0.11484447121620178,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,2,OVA,decoupled_outputs,1.6058669090270996,0.09874234596888225,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,multi-output,coupled_outputs,0.3987393379211426,0.07510298490524292,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,3,OVA,decoupled_outputs,1.3067820072174072,0.05030794069170952,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,multi-output,coupled_outputs,0.40143847465515137,0.15246663987636566,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,4,OVA,decoupled_outputs,1.3048954010009766,0.08410718788703282,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,multi-output,coupled_outputs,0.4041886329650879,0.11831512302160263,50.0,50,False,0,0.9722222222222222,0.9761904761904763,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9761904761904763,0.013888888888888888,0.9861111111111112,0.023809523809523808
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,5,OVA,decoupled_outputs,1.2992560863494873,0.0691336877644062,50.0,150,False,0,0.9722222222222222,0.9761904761904763,0.9743589743589745,0.9761904761904763,0.974320987654321,0.9761904761904763,0.013888888888888888,0.9861111111111112,0.023809523809523808
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,multi-output,coupled_outputs,0.40553951263427734,0.04855881631374359,50.0,50,False,0,0.9444444444444444,0.9484126984126985,0.9458874458874459,0.9484126984126985,0.945824706694272,0.9484126984126985,0.027972027972027972,0.9720279720279721,0.05158730158730159
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,6,OVA,decoupled_outputs,1.3664453029632568,0.03366053973635038,50.0,150,False,0,0.9722222222222222,0.9761904761904763,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.9761904761904763,0.012820512820512822,0.9871794871794872,0.023809523809523808
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,multi-output,coupled_outputs,0.5177996158599854,0.10679521411657333,50.0,50,False,0,0.9722222222222222,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483,0.9722222222222222,0.015151515151515152,0.9848484848484849,0.027777777777777776
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,7,OVA,decoupled_outputs,1.6772959232330322,0.05013673131664594,50.0,150,False,0,0.9722222222222222,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483,0.9722222222222222,0.015151515151515152,0.9848484848484849,0.027777777777777776
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,multi-output,coupled_outputs,0.5159444808959961,0.08745474368333817,50.0,50,False,0,0.9722222222222222,0.9761904761904763,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.9761904761904763,0.012820512820512822,0.9871794871794872,0.023809523809523808
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,8,OVA,decoupled_outputs,1.6768367290496826,0.053756361827254295,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,multi-output,coupled_outputs,0.5143263339996338,0.13181990385055542,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,9,OVA,decoupled_outputs,1.7029430866241455,0.0734550142660737,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,multi-output,coupled_outputs,0.5189075469970703,0.040467340499162674,50.0,50,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,mlp,"[32, 16]",False,32,50,10,0.0001,0.001,10,OVA,decoupled_outputs,1.6905670166015625,0.0627793874591589,50.0,150,False,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
