task,dataset,dependency_strength,target_dim,hidden_layers,batch_normalization,batch_size,epochs,learning_rate,seed,model_type,coupling_level,train_time_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,tpr_macro,fpr_macro,tnr_macro,fnr_macro
classification,iris,,3,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,0.5274083614349365,0.9,0.9,0.9023569023569024,0.9,0.899749373433584,0.9,0.05,0.95,0.1
classification,iris,,3,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,0.8760581016540527,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0333333333333333,0.9666666666666668,0.0666666666666666
classification,iris,,3,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,0.3063936233520508,0.9333333333333332,0.9333333333333332,0.9444444444444444,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.0333333333333333,0.9666666666666668,0.0666666666666666
classification,iris,,3,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,1.1293742656707764,0.9333333333333332,0.9333333333333332,0.9444444444444444,0.9333333333333332,0.9326599326599326,0.9333333333333332,0.0333333333333333,0.9666666666666668,0.0666666666666666
classification,iris,,3,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,0.3474354743957519,0.8,0.8000000000000002,0.8055555555555555,0.8000000000000002,0.7979797979797979,0.8000000000000002,0.1,0.9,0.2
classification,iris,,3,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,1.1505780220031738,0.8333333333333334,0.8333333333333334,0.8350168350168351,0.8333333333333334,0.8329156223893066,0.8333333333333334,0.0833333333333333,0.9166666666666666,0.1666666666666666
classification,wine,,3,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,0.6461849212646484,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,1,OVA,decoupled_outputs,1.0405385494232178,0.9722222222222222,0.9761904761904764,0.9696969696969696,0.9761904761904764,0.9717813051146384,0.9761904761904764,0.0128205128205128,0.9871794871794872,0.0238095238095238
classification,wine,,3,"[32, 16]",False,32,50,0.001,2,multi-output,coupled_outputs,0.3561110496520996,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,2,OVA,decoupled_outputs,1.1060059070587158,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,3,multi-output,coupled_outputs,0.4300124645233154,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,wine,,3,"[32, 16]",False,32,50,0.001,3,OVA,decoupled_outputs,1.4306540489196775,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
classification,breast_cancer,,2,"[32, 16]",False,32,50,0.001,1,multi-output,coupled_outputs,1.0096468925476074,0.9649122807017544,0.95734126984127,0.9672297297297296,0.95734126984127,0.9619111259605746,0.95734126984127,0.0426587301587301,0.95734126984127,0.0426587301587301
