Dataset,Number of Classes,Hidden Layers,Batch Normalization,seed,batch_size,Full Model Train Time (s),Binary Models Train Time (s),Full Model Test Accuracy,Full Model Test Weighted Accuracy,Ensemble Test Accuracy,Ensemble Test Weighted Accuracy
iris,3,[],False,4050,32,10.446295976638794,2.9495608806610107,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.43333333333333335
wine,3,[],False,4050,32,3.0294365882873535,1.5244028568267822,0.5,0.49126984126984125,0.7222222222222222,0.7333333333333334
digits,10,[],False,4050,32,6.511420488357544,47.220972299575806,0.9638888888888889,0.9638803088803088,0.9611111111111111,0.9611025311025312
breast_cancer,2,[],False,4050,32,5.372018337249756,2.9597761631011963,0.9122807017543859,0.8809523809523809,0.8947368421052632,0.8720238095238095
iris,3,[64],False,4050,32,3.962611436843872,3.0858352184295654,0.9333333333333333,0.9333333333333332,0.9,0.9
wine,3,[64],False,4050,32,13.073808908462524,2.7676193714141846,0.9166666666666666,0.9055555555555556,0.8888888888888888,0.8777777777777779
digits,10,[64],False,4050,32,6.469005584716797,56.978943824768066,0.9888888888888889,0.9889596739596739,0.9888888888888889,0.9888845988845988
breast_cancer,2,[64],False,4050,32,5.125446081161499,3.5333847999572754,0.9385964912280702,0.9166666666666667,0.9473684210526315,0.933531746031746
iris,3,"[64, 32, 16]",False,4050,32,4.076250314712524,4.213293075561523,0.9333333333333333,0.9333333333333332,0.9666666666666667,0.9666666666666667
wine,3,"[64, 32, 16]",False,4050,32,3.9866385459899902,4.052418231964111,0.6666666666666666,0.6873015873015872,0.8888888888888888,0.8777777777777779
digits,10,"[64, 32, 16]",False,4050,32,15.250702857971191,75.53022789955139,0.9666666666666667,0.9668833118833119,0.9805555555555555,0.9805512655512656
breast_cancer,2,"[64, 32, 16]",False,4050,32,6.082172155380249,4.602990627288818,0.9210526315789473,0.8928571428571428,0.9385964912280702,0.9216269841269842
